,Tweet,Sentiment,Score
0,"RT @HosamDakhakhni: When #HillaryClinton visited Egypt she grabbed my Weiner, #HillaryGropedMe , I forgot but remembered just now.",negative,-0.371472
1,"RT @Lrihendry: WOW! #Wikileaks #HillaryClinton : I FN HATE EVERYDAY AMERICANS! We have news for her, we HATE her more! #NeverHillary #Alw…",negative,-0.642348
2,"RT @PatriotSurge: 71% of doctors agree #HillarysHealth is a PROBLEM, but #Democrats ignore &amp; support #HillaryClinton &amp; #LiberalsUnite https…",negative,-0.557608
3,BUSTED! #Trump #MAGA #Hillary #ImWithHer #WomenWhoVoteTrump #HillaryClinton THEY ARE HOAXING US! https://t.co/fvYToF6lHw,negative,-0.285277
4,RT @wikileaks: RELEASE: The Podesta Emails Part 8 https://t.co/pE4OgvEowo #HillaryClinton #imWithHer #PodestaEmails #PodestaEmails8 https:/…,neutral,0
5,"RT @Thomas1774Paine: #HillaryClinton Supplied $$, Weapons, Tanks, Training to Al-Qaeda to Kill Gaddafi &amp; ARM #ISIS in Syria @wikileaks RT h…",negative,-0.48023
6,"#Catholic bishop blasts #HillaryClinton over emails, 'scheming, robotic liar' https://t.co/ocSlpo8OUR #Election2016 #Latinos #EnoughIsEnough",neutral,0
7,"RT @Thomas1774Paine: #HillaryClinton Supplied $$, Weapons, Tanks, Training to Al-Qaeda to Kill Gaddafi &amp; ARM #ISIS in Syria @wikileaks RT h…",negative,-0.48023
8,#HillaryClinton wants to bring inbred trash like this to #America? Let's send her evil ass there to join her dog sl… https://t.co/MyNpA0ksVb,negative,-0.659056
9,@wikileaks still BS but with a little less completely and obviously made up #HillaryClinton https://t.co/39RCt4e7B5,negative,-0.779343
10,Hillary Would Kill The Middle Class - https://t.co/bFzvGQGoBR #911 #AlexJones #AlternativeMedia #Cps #Dron… https://t.co/wrthbqi0j5,neutral,0
11,This is just brilliant #SaturdayNightLive #POTUS2016 #DonaldTrump #HillaryClinton https://t.co/ZYm4N51aUD,neutral,0
12,RT @UnPoliticalPrty: #HillaryClinton got $100 Million from Muslim Terror Sponsors She's PAID to sacrifice US Citizens to Islamists? https…,negative,-0.751512
13,RT @JaeCreitch: if this is true its PROOF she isnt physically fit 2 serve #HillaryClinton #PodestaEmails6 #PodestaEmails7 #PodestaEmails8…,neutral,0
14,"RT @Thomas1774Paine: #HillaryClinton Supplied $$, Weapons, Tanks, Training to Al-Qaeda to Kill Gaddafi &amp; ARM #ISIS in Syria @wikileaks RT h…",negative,-0.48023
15,"@realDonaldTrump You nailed it, on the 2nd debate! We are very Proud of you! You told #HillaryClinton exactly what we wanted you 2 tell her!",positive,0.3349
16,@AlwaysActions @GaetaSusan #IAmWithHer #HillaryClinton,negative,-0.427214
17,RT @Imeninme: #HillaryClinton’s #Goldman Sachs #Speeches @NSC44 @NSAGov @FBI @FBIWFO @POTUS @ClintonFdn @HillaryClinton @wikileaks https://…,negative,-0.398263
18,RT @DrEstella: #JillStein tell us #Trump less dangerous than #HillaryClinton ! We will go to war with Clinton! https://t.co/fI6J63aGDr,negative,-0.32482
19,"RT @DaystoTrump: #HillaryClinton seems to think that if she can just get the messaging right, the fortunes of the Middle Class will magical…",positive,0.337445
